iter	Passed	Remaining
919	4694	408
920	4701	403
921	4704	397
922	4709	392
923	4718	388
924	4722	382
925	4728	377
926	4734	372
927	4738	367
928	4742	362
929	4748	357
930	4752	352
931	4756	347
932	4761	341
933	4766	336
934	4770	331
935	4775	326
936	4781	321
937	4784	316
938	4788	311
939	4795	306
940	4799	300
941	4803	295
942	4808	290
943	4812	285
944	4816	280
945	4823	275
946	4829	270
947	4834	265
948	4841	260
949	4845	255
950	4850	249
951	4857	244
952	4861	239
953	4865	234
954	4872	229
955	4879	224
956	4886	219
957	4890	214
958	4895	209
959	4902	204
960	4906	199
961	4918	194
962	4924	189
963	4931	184
964	4937	179
965	4941	173
966	4947	168
967	4951	163
968	4954	158
969	4960	153
970	4967	148
971	4970	143
972	4976	138
973	4981	132
974	4984	127
975	4988	122
976	4994	117
977	4998	112
978	5001	107
979	5008	102
980	5013	97
981	5016	91
982	5020	86
983	5028	81
984	5032	76
985	5037	71
986	5043	66
987	5046	61
988	5050	56
989	5058	51
990	5062	45
991	5066	40
992	5073	35
993	5076	30
994	5081	25
995	5089	20
996	5093	15
997	5102	10
998	5109	5
999	5122	0
